,artist_url,artist_name,max_chart_num,last_seen,first_seen,last_runID,first_runID
229,/barongfamily,Barong Family,45,2018-10-14 08:23:34.202905,2018-10-24 19:53:22.181034,19,9
230,/bartaa,BARTA,41,2018-10-16 22:13:27.331114,2018-10-19 19:54:47.465036,14,11
231,/basedjuanempire,JUAN,43,2018-09-30 16:43:51.725457,2018-09-30 16:43:57.913669,3,3
232,/bashmentpartyuk,Bashment Party Mixes,47,2018-10-19 19:54:05.793176,2018-10-27 14:55:40.885678,22,14
233,/bass199x,Bass Santana,50,2018-10-13 16:44:39.675773,2018-10-15 21:33:45.886212,10,8
234,/bass_planet,Bass Planet,42,2018-10-19 19:54:39.817687,2018-10-27 14:56:13.952537,22,14
235,/bassclad,Bassclad,31,2018-09-28 14:25:17.283025,2018-09-30 16:45:14.594717,3,0
236,/bassformdnb,𝐛𝐚𝐬𝐬𝐟𝐨𝐫𝐦,50,2018-10-15 21:33:10.080030,2018-10-16 22:13:26.123078,11,10
237,/bassgazm,BASSGAZM,41,2018-10-06 15:11:00.502376,2018-10-13 16:44:22.616341,8,4
238,/bassismrecords,Bassism Records,44,2018-10-20 19:39:32.731985,2018-10-24 19:54:07.459972,19,15
239,/bassrush,Bassrush,32,2018-10-25 20:32:41.887943,2018-10-27 14:56:05.439359,22,20
240,/basstripper,Basstripper,22,2018-09-28 14:25:17.283025,2018-09-30 16:45:04.787751,3,0
241,/bassweightrec,Bassweight Records,39,2018-09-28 14:25:17.283025,2018-10-27 14:56:13.952537,22,0
242,/bastiaan-kooman,Bas Kooman,48,2018-10-19 19:54:56.183696,2018-10-21 19:17:59.644053,16,14
243,/bbprecordings,Breakbeat Paradise (BBP),45,2018-09-30 16:44:54.699271,2018-09-30 16:45:04.787751,3,3
244,/bbykodie,BBY KODIE,33,2018-09-28 14:25:17.283025,2018-10-07 14:43:51.959896,7,0
245,/bdkdz,BDKDZ,47,2018-10-18 20:05:33.922591,2018-10-20 19:39:37.738549,15,13
246,/bean-xinh,Bean Xinh ❂,33,2018-10-07 14:43:53.169121,2018-10-07 14:44:04.778817,7,7
247,/beauzmusic,BEAUZ,30,2018-09-28 14:25:17.283025,2018-09-30 16:44:29.991770,3,0
248,/beccagriffitts,Becca Griffitts,36,2018-10-13 16:44:31.163166,2018-10-17 20:31:00.808368,12,8
249,/beejay952,Brandon Johnson,24,2018-10-27 14:56:24.476906,2018-10-27 14:56:30.879286,22,22
250,/bellevueband,BELLEVUE,47,2018-10-13 16:43:05.790137,2018-10-18 20:04:30.488369,13,8
251,/ben-gaughan-606321738,Ben Gaughan,47,2018-10-16 22:13:52.013145,2018-10-16 22:13:59.403893,11,11
252,/benjamin-gustafsson,Benjamin Gustafsson,20,2018-09-28 14:25:17.283025,2018-10-27 14:53:25.806631,22,0
253,/benyofficial,BENY,45,2018-10-27 14:54:24.151252,2018-10-27 14:54:29.365651,22,22
254,/benzaidi,Ben Zaidi,47,2018-09-28 14:25:17.283025,2018-10-07 14:45:23.428857,7,0
255,/berlindeepselected,Berlin Deep Selected,39,2018-09-28 14:25:17.283025,2018-09-30 16:44:45.436515,3,0
256,/bespoke-musik,Bespoke Musik,43,2018-10-20 19:39:16.930292,2018-10-27 14:55:48.111333,22,15
257,/bessimusic,bessi,46,2018-10-15 21:33:31.028442,2018-10-18 20:05:57.225299,13,10
258,/beter-baha,Beter Baha,45,2018-10-14 08:23:16.517042,2018-10-20 19:39:00.714635,15,9
259,/betteronfoot,Better on Foot,39,2018-10-13 16:43:53.031905,2018-10-17 20:30:22.399320,12,8
260,/bettheboard,Bet The Board,50,2018-09-28 14:25:17.283025,2018-10-27 14:56:47.139436,22,0
261,/bgbassphoenix,Sid,44,2018-10-22 21:13:56.466900,2018-10-25 20:32:02.936181,20,17
262,/biacsmusic,BIACS,11,2018-09-28 14:25:17.283025,2018-10-07 14:42:32.427904,7,0
263,/biacsmusic,Bull In A China Shop,17,2018-10-13 16:42:34.416029,2018-10-17 20:29:10.356249,12,8
264,/biacsmusic,BullInAChinaShop,46,2018-10-18 20:03:50.102274,2018-10-27 14:54:36.923725,22,13
265,/bigbabyscumbag,Big Baby,34,2018-09-30 16:44:13.557284,2018-10-27 14:55:25.518524,22,3
266,/bigbankcampaign1,BIG BANK CAMPAIGN,38,2018-09-28 14:25:17.283025,2018-10-27 14:54:51.430208,22,0
267,/bignslim,Big N Slim,48,2018-09-28 14:25:17.283025,2018-10-21 19:17:43.273663,16,0
268,/bigpeepee69,Big Peepee,46,2018-10-13 16:43:29.568265,2018-10-13 16:43:36.835990,8,8
269,/bigserb,BIG SERB,47,2018-10-25 20:32:03.612197,2018-10-27 14:55:25.518524,22,20
270,/bigtentpublishing,Big Tent Nashville,28,2018-10-21 19:16:41.439205,2018-10-27 14:55:25.518524,22,16
271,/billboard,billboard,5,2018-09-28 14:25:17.283025,2018-10-27 14:54:58.714203,22,0
272,/billbobinson,Will Robertson,43,2018-10-13 16:44:31.163166,2018-10-14 08:24:41.250950,9,8
273,/billbrewster,Bill Brewster,50,2018-09-28 14:25:17.283025,2018-10-27 14:55:56.565493,22,0
274,/billgates_ato,Billgates,40,2018-10-19 19:54:05.793176,2018-10-27 14:55:40.885678,22,14
275,/biological-beats,biological beats,46,2018-10-13 16:44:07.909051,2018-10-19 19:54:38.684144,14,8
276,/biophaze,Biophaze Records,49,2018-09-28 14:25:17.283025,2018-10-26 20:12:11.978103,21,0
277,/birthdayypartyy,Birthdayy Partyy,44,2018-10-13 16:44:16.161661,2018-10-17 20:30:44.177488,12,8
278,/bitbirdofficial,bitbird,49,2018-09-28 14:25:17.283025,2018-10-27 14:54:36.923725,22,0
279,/bitbirdradio,bitbird radio,44,2018-09-28 14:25:17.283025,2018-10-27 14:56:23.649472,22,0
280,/bjmusicarrangements,Bojana Jovanovic Music arrangements,39,2018-10-13 16:43:21.130211,2018-10-15 21:32:33.161467,10,8
281,/bkdjreggieregg,DJ REGGIE REGG #LIGHTSKINGOD,27,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
282,/black_caillou,Black Caillou,49,2018-10-17 20:29:54.722831,2018-10-18 20:04:53.652693,13,12
283,/blacklabelnsd,Never Say Die Black Label,50,2018-09-28 14:25:17.283025,2018-10-27 14:56:13.952537,22,0
284,/blackmill,Blackmill,23,2018-09-28 14:25:17.283025,2018-09-30 16:43:21.538771,3,0
285,/blackoutmusicnl,Blackout Music NL,42,2018-10-13 16:44:07.909051,2018-10-17 20:30:36.996591,12,8
286,/blacktigersexmachine,Black Tiger Sex Machine,48,2018-09-28 14:25:17.283025,2018-10-20 19:39:37.738549,15,0
287,/blackytom,BlackyTom,31,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
288,/blakeskowron,blake skowron,50,2018-10-18 20:05:41.412139,2018-10-21 19:17:51.358713,16,13
289,/bleakwoods,BLEAKWØØDS,40,2018-10-16 22:13:44.045680,2018-10-21 19:17:59.644053,16,11
290,/bleep-bloop,BLEEP BLOOP,29,2018-09-30 16:45:15.235654,2018-09-30 16:45:22.023195,3,3
291,/blokalles,βℓοκαℓℓεs ᎷΛᎶ,40,2018-10-24 19:52:45.358805,2018-10-27 14:55:11.683914,22,19
292,/blonde-v,blonde v,23,2018-10-21 19:17:52.520417,2018-10-27 14:56:30.879286,22,16
293,/bloomberg-business,Bloomberg,50,2018-10-06 15:09:55.941585,2018-10-20 19:38:40.792947,15,4
294,/bluebirdwine,Bluebird Wine,40,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
295,/blvckb,7XVN,48,2018-10-13 16:43:05.790137,2018-10-23 20:38:55.440879,18,8
296,/bobbysworldchildcare,Bobbysworldchildcare,50,2018-09-28 14:25:17.283025,2018-10-17 20:28:11.387479,12,0
297,/bocaonewsoficial,bocaonewsoficial,50,2018-10-23 20:40:30.390508,2018-10-24 19:54:41.240987,19,18
298,/bodega-sushi,Bodega Boys,50,2018-09-28 14:25:17.283025,2018-10-27 14:56:47.139436,22,0
299,/boehmofficial,Boehm,22,2018-09-28 14:25:17.283025,2018-09-30 16:44:45.436515,3,0
300,/bojaplus,BojaPlus,50,2018-10-14 08:23:16.517042,2018-10-21 19:16:40.813279,16,9
301,/boltingbits,Bolting Bits,34,2018-10-18 20:05:10.734380,2018-10-25 20:32:33.717808,20,13
302,/bombyce,Bombyce,32,2018-09-28 14:25:17.283025,2018-10-27 14:54:15.530255,22,0
303,/bongomusics,BongÔMusics,27,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
304,/bonifansius,Bonifansius,23,2018-09-28 14:25:17.283025,2018-10-27 14:53:33.610925,22,0
305,/bonjoursergio,Sergio Díaz De Rojas,18,2018-10-24 19:52:53.783698,2018-10-27 14:55:17.994495,22,19
306,/boofo,bOofo,49,2018-10-13 16:44:07.909051,2018-10-23 20:38:08.372334,18,8
307,/bootymunch,DBangz,50,2018-10-06 15:40:53.547996,2018-10-27 14:53:41.350752,22,6
308,/bordelloaparigi,Bordello A Parigi,42,2018-10-06 15:09:16.530130,2018-10-26 20:10:11.367868,21,4
309,/boris-sitnikoff,Boris Sitnikoff,13,2018-09-30 16:44:05.657122,2018-09-30 16:44:12.804104,3,3
310,/borspodden,Börspodden,50,2018-09-28 14:25:17.283025,2018-10-27 14:56:47.139436,22,0
311,/borussiadortmund,Borussia Dortmund,47,2018-10-13 16:42:57.447052,2018-10-14 08:22:56.506483,9,8
312,/bossmanakira,AKIRA,39,2018-10-06 15:11:00.502376,2018-10-23 20:40:05.536304,18,4
313,/botnik-studios,Botnik,15,2018-10-06 15:11:15.486209,2018-10-07 14:45:23.428857,7,4
314,/bowlcutgarms,Bowlcut Garms,38,2018-10-20 19:39:27.511587,2018-10-24 19:53:57.852679,19,15
315,/boxofwolves,Box Of Wolves,50,2018-09-28 14:25:17.283025,2018-10-25 20:30:57.725925,20,0
316,/brainwave-power-music,Brainwave Power Music,44,2018-10-06 15:08:39.527021,2018-10-07 14:41:06.965204,7,4
317,/brandonrichardsmusic,Brandon Richards,31,2018-09-28 14:25:17.283025,2018-09-30 16:45:28.772965,3,0
318,/brazilianbassmusicoff,Brazilian Bass Music,48,2018-10-13 16:43:53.031905,2018-10-16 22:13:10.263301,11,8
319,/break_enter_society,Break & Enter Society,43,2018-10-06 15:11:08.860906,2018-10-17 20:30:52.497987,12,4
320,/breakin-science,Breakin Science,49,2018-10-20 19:39:27.511587,2018-10-26 20:12:03.200592,21,15
321,/breaklite,Breaklite,45,2018-10-13 16:43:05.790137,2018-10-17 20:29:37.136429,12,8
322,/brednbutterrec,brednbutter,32,2018-09-30 16:45:15.235654,2018-09-30 16:45:22.023195,3,3
323,/brennanheart,BrennanHeart,28,2018-09-30 16:44:22.682601,2018-09-30 16:44:29.991770,3,3
324,/brevitas-choir,Brevitas,37,2018-09-28 14:25:17.283025,2018-09-28 14:41:07.875882,2,0
325,/brian-adams-701174230,Brian Adams,44,2018-10-27 14:56:24.476906,2018-10-27 14:56:30.879286,22,22
326,/brigsounds,The Brig,35,2018-10-06 15:11:00.502376,2018-10-07 14:45:00.833206,7,4
327,/bristol2k,BRISTOL2K,46,2018-10-16 22:13:19.154109,2018-10-23 20:39:56.656873,18,11
328,/brndnrjs,brndnrjs,11,2018-10-25 20:33:02.897216,2018-10-27 14:56:30.879286,22,20
329,/bruce-klepper-1,Bruce Klepper | Composer,42,2018-10-06 15:42:38.920702,2018-10-20 19:39:00.714635,15,6
330,/bruhmane2,2K™,45,2018-09-30 16:44:13.557284,2018-10-06 15:42:55.177659,6,3
331,/bruhmanegod,BRUHMANEGOD,49,2018-10-07 14:43:41.878938,2018-10-24 19:53:12.921023,19,7
332,/bruno-torres-remixes,Bruno Torres Remixes,8,2018-09-28 14:25:17.283025,2018-10-27 14:53:50.065779,22,0
333,/bruno_sanfilippo,Bruno Sanfilippo,50,2018-09-28 14:25:17.283025,2018-10-27 14:55:11.683914,22,0
334,/brunobe,BrunoBe,33,2018-09-28 14:25:17.283025,2018-09-30 16:44:45.436515,3,0
335,/brunoisokay,bruno.,40,2018-10-13 16:44:31.163166,2018-10-14 08:24:41.250950,9,8
336,/brutalbunnie-22,brutalbunnie 22,50,2018-10-07 14:43:28.311945,2018-10-14 08:23:23.567545,9,7
337,/bryzergold,BRYZERGOLD,47,2018-10-19 19:54:39.817687,2018-10-24 19:54:07.459972,19,14
338,/bstel,BSTL,41,2018-09-28 14:25:17.283025,2018-10-07 14:42:04.893452,7,0
339,/bts-news-updates,BigHit OFFICIAL,42,2018-10-24 19:54:08.155322,2018-10-26 20:12:20.485599,21,19
340,/buddhadeeprecords,buddhadeeprecords,49,2018-10-13 16:44:00.910916,2018-10-14 08:24:09.296268,9,8
341,/buls-on-danotes,Buls On Danotes,48,2018-10-25 20:33:02.897216,2018-10-27 14:56:30.879286,22,20
342,/bunnytiger,Bunny Tiger,27,2018-09-28 14:25:17.283025,2018-10-27 14:54:15.530255,22,0
343,/burgerrecords,BURGER RECORDS,29,2018-09-28 14:25:17.283025,2018-10-27 14:53:18.341332,22,0
344,/butch_le_butch,Butch le Butch,4,2018-09-28 14:25:17.283025,2018-10-27 14:54:15.530255,22,0
345,/butchrobins,Butch Robins,36,2018-10-19 19:53:50.715978,2018-10-23 20:39:18.222067,18,14
346,/buttercup-hase,Chinatsu Hasegawa,40,2018-10-06 15:42:38.920702,2018-10-07 14:43:40.584511,7,6
347,/bzgohard,B.Z.,48,2018-10-13 16:43:29.568265,2018-10-13 16:43:36.835990,8,8
348,/c-ng-kien,DJ Phong Melody,41,2018-10-13 16:43:37.508990,2018-10-13 16:43:45.195107,8,8
349,/cabeiri,Cabeiri,48,2018-10-19 19:53:35.041212,2018-10-19 19:53:42.340100,14,14
350,/cabuizeevips,Cabuizee VIPs,49,2018-09-28 14:25:17.283025,2018-10-25 20:30:34.025814,20,0
351,/cademyipingessons,PP Academy/Audio Archive,49,2018-10-25 20:33:02.897216,2018-10-27 14:56:30.879286,22,20
352,/calcium-dubs,CALCIUM,44,2018-10-21 19:17:44.276056,2018-10-24 19:54:15.574238,19,16
353,/cambotmusic,CAMBOT,34,2018-10-13 16:43:29.568265,2018-10-16 22:12:45.263467,11,8
354,/camengle,Mac,48,2018-10-17 20:29:54.722831,2018-10-19 19:53:57.092228,14,12
355,/camgiahuy,Cam Gia Huy,41,2018-10-21 19:16:51.219229,2018-10-27 14:55:33.542971,22,16
356,/camokrooked,Camo & Krooked,49,2018-10-17 20:28:49.627644,2018-10-17 20:28:56.508720,12,12
357,/captain-hook,Captain Hook,36,2018-10-22 21:15:11.396966,2018-10-25 20:33:02.239844,20,17
358,/captaincuts,Captain Cuts,47,2018-10-13 16:43:37.508990,2018-10-19 19:54:05.070468,14,8
359,/captainhoku,CAPTAIN HŌKŪ (DJ) <Matinik Sound>,49,2018-09-30 16:44:30.660117,2018-10-19 19:54:12.818469,14,3
360,/caribbeanpartyuk,@CaribbeanPartyUK,40,2018-09-28 14:25:17.283025,2018-09-30 16:44:37.740366,3,0
361,/carlabunga,Carla Passandaran,47,2018-10-19 19:54:56.183696,2018-10-19 19:55:02.441457,14,14
362,/carolinefv,Caroline F. V.,50,2018-10-26 20:11:12.127269,2018-10-26 20:11:20.109908,21,21
363,/cash-official,cash,50,2018-09-28 14:25:17.283025,2018-10-27 14:55:11.683914,22,0
364,/cassim-intl-1,CASSIM INTL,50,2018-10-07 14:44:06.438479,2018-10-13 16:43:52.337860,8,7
365,/catdealers,Cat Dealers,50,2018-10-06 15:09:36.016632,2018-10-23 20:38:23.398717,18,4
366,/catherine-smaha-murray,Catherine Smaha Murray,50,2018-10-17 20:29:48.559556,2018-10-17 20:29:54.046378,12,12
367,/catherineearnshawmusic,Catherine Earnshaw Music,41,2018-09-30 16:45:22.643488,2018-09-30 16:45:28.772965,3,3
368,/cause4concern-recordings,Cause4Concern Recordings,39,2018-10-13 16:44:07.909051,2018-10-16 22:13:26.123078,11,8
